question_index,image_index,question_id,question_string,answer,figure_type,question_type
0,8004,2,Is Light Seafoam less than Dark Blue?,1,hbar_categorical,categorical_less_than
1,8004,3,Is Light Seafoam greater than Dark Blue?,0,hbar_categorical,categorical_greater_than
2,8004,2,Is Dark Blue less than Light Seafoam?,0,hbar_categorical,categorical_less_than
3,8004,5,Is Olive the high median?,1,hbar_categorical,categorical_high_median
4,8004,4,Is Dark Blue the low median?,1,hbar_categorical,categorical_low_median
5,12000,0,Is Light Slate the minimum?,1,hbar_categorical,categorical_minimum
6,12000,1,Is Light Gold the maximum?,1,hbar_categorical,categorical_maximum
7,12000,0,Is Medium Orchid the minimum?,0,hbar_categorical,categorical_minimum
8,12000,1,Is Medium Orchid the maximum?,0,hbar_categorical,categorical_maximum
9,12000,3,Is Light Gold greater than Medium Orchid?,1,hbar_categorical,categorical_greater_than
10,8002,2,Is Yellow Green less than Violet?,1,pie,categorical_less_than
11,8002,3,Is Yellow Green greater than Violet?,0,pie,categorical_greater_than
12,8002,2,Is Violet less than Yellow Green?,0,pie,categorical_less_than
13,8002,5,Is Yellow Green the high median?,1,pie,categorical_high_median
14,8002,4,Is Yellow Green the low median?,1,pie,categorical_low_median
15,1,0,Is Blue Violet the minimum?,1,hbar_categorical,categorical_minimum
16,1,1,Is Saddle Brown the maximum?,1,hbar_categorical,categorical_maximum
17,1,0,Is Forest Green the minimum?,0,hbar_categorical,categorical_minimum
18,1,1,Is Forest Green the maximum?,0,hbar_categorical,categorical_maximum
19,1,3,Is Saddle Brown greater than Forest Green?,1,hbar_categorical,categorical_greater_than
20,16003,6,Does Sky Blue have the minimum area under the curve?,1,line,continuous_minimum_auc
21,16003,7,Does Dark Slate have the maximum area under the curve?,1,line,continuous_maximum_auc
22,16003,6,Does Web Purple have the minimum area under the curve?,0,line,continuous_minimum_auc
23,16003,7,Does Web Purple have the maximum area under the curve?,0,line,continuous_maximum_auc
24,16003,8,Is Web Maroon the smoothest?,1,line,continuous_smoothest
25,4003,2,Is Light Salmon less than Deep Sky Blue?,1,pie,categorical_less_than
26,4003,3,Is Light Salmon greater than Deep Sky Blue?,0,pie,categorical_greater_than
27,4003,2,Is Deep Sky Blue less than Light Salmon?,0,pie,categorical_less_than
28,4003,5,Is Light Salmon the high median?,1,pie,categorical_high_median
29,4003,4,Is Dark Seafoam the low median?,1,pie,categorical_low_median
30,12004,11,Does Yellow have the highest value?,1,line,continuous_global_maximum
31,12004,11,Does Dim Gray have the highest value?,0,line,continuous_global_maximum
32,12004,12,Is Dim Gray less than Sky Blue?,1,line,continuous_less_than
33,12004,13,Is Yellow greater than Dim Gray?,1,line,continuous_greater_than
34,12004,14,Does Dim Gray intersect Olive Drab?,1,line,continuous_intersect
35,16001,11,Does Dark Red have the highest value?,1,dot_line,continuous_global_maximum
36,16001,11,Does Green Yellow have the highest value?,0,dot_line,continuous_global_maximum
37,16001,12,Is Green Yellow less than Dark Red?,1,dot_line,continuous_less_than
38,16001,13,Is Medium Seafoam greater than Light Seafoam?,1,dot_line,continuous_greater_than
39,16001,14,Does Green Yellow intersect Light Seafoam?,1,dot_line,continuous_intersect
40,4,6,Does Deep Sky Blue have the minimum area under the curve?,0,line,continuous_minimum_auc
41,4,9,Is Deep Sky Blue the roughest?,0,line,continuous_roughest
42,4,10,Does Deep Sky Blue have the lowest value?,0,line,continuous_global_minimum
43,4,12,Is Teal less than Deep Sky Blue?,1,line,continuous_less_than
44,4,13,Is Deep Sky Blue greater than Teal?,1,line,continuous_greater_than
45,16003,9,Is Dark Slate the roughest?,1,line,continuous_roughest
46,16003,8,Is Sky Blue the smoothest?,0,line,continuous_smoothest
47,16003,9,Is Sky Blue the roughest?,0,line,continuous_roughest
48,16003,10,Does Sienna have the lowest value?,1,line,continuous_global_minimum
49,16003,11,Does Dark Slate have the highest value?,1,line,continuous_global_maximum
50,4000,5,Is Medium Periwinkle the high median?,0,pie,categorical_high_median
51,4000,4,Is Medium Periwinkle the low median?,0,pie,categorical_low_median
52,12000,2,Is Medium Orchid less than Light Gold?,1,hbar_categorical,categorical_less_than
53,12000,3,Is Medium Orchid greater than Light Gold?,0,hbar_categorical,categorical_greater_than
54,12000,2,Is Light Gold less than Medium Orchid?,0,hbar_categorical,categorical_less_than
55,12000,5,Is Medium Orchid the high median?,1,hbar_categorical,categorical_high_median
56,12000,4,Is Medium Orchid the low median?,1,hbar_categorical,categorical_low_median
57,2,0,Is Medium Periwinkle the minimum?,0,vbar_categorical,categorical_minimum
58,2,1,Is Medium Periwinkle the maximum?,0,vbar_categorical,categorical_maximum
59,2,3,Is Chartreuse greater than Medium Periwinkle?,1,vbar_categorical,categorical_greater_than
60,2,2,Is Medium Periwinkle less than Chartreuse?,1,vbar_categorical,categorical_less_than
61,2,3,Is Medium Periwinkle greater than Chartreuse?,0,vbar_categorical,categorical_greater_than
62,16004,11,Does Light Salmon have the highest value?,0,line,continuous_global_maximum
63,16004,14,Does Medium Mint intersect Rosy Brown?,1,line,continuous_intersect
64,16004,12,Is Medium Mint less than Rosy Brown?,0,line,continuous_less_than
65,16004,13,Is Medium Mint greater than Rosy Brown?,0,line,continuous_greater_than
66,12002,13,Is Cadet Blue greater than Lime Green?,0,line,continuous_greater_than
67,12002,14,Does Light Coral intersect Cadet Blue?,0,line,continuous_intersect
68,3,5,Is Pale Green the high median?,0,hbar_categorical,categorical_high_median
69,3,4,Is Pale Green the low median?,0,hbar_categorical,categorical_low_median
70,12001,9,Is Medium Mint the roughest?,1,line,continuous_roughest
71,12001,8,Is Medium Periwinkle the smoothest?,0,line,continuous_smoothest
72,12001,9,Is Medium Periwinkle the roughest?,0,line,continuous_roughest
73,12001,10,Does Medium Periwinkle have the lowest value?,1,line,continuous_global_minimum
74,12001,10,Does Medium Mint have the lowest value?,0,line,continuous_global_minimum
75,4002,12,Is Mint less than Navy Blue?,0,line,continuous_less_than
76,4002,13,Is Mint greater than Navy Blue?,0,line,continuous_greater_than
77,4002,14,Does Black intersect Teal?,0,line,continuous_intersect
78,1,5,Is Saddle Brown the high median?,0,hbar_categorical,categorical_high_median
79,1,4,Is Saddle Brown the low median?,0,hbar_categorical,categorical_low_median
80,16000,9,Is Gray the roughest?,1,dot_line,continuous_roughest
81,16000,8,Is Firebrick the smoothest?,0,dot_line,continuous_smoothest
82,16000,9,Is Firebrick the roughest?,0,dot_line,continuous_roughest
83,16000,10,Does Firebrick have the lowest value?,1,dot_line,continuous_global_minimum
84,16000,10,Does Dark Gold have the lowest value?,0,dot_line,continuous_global_minimum
85,2,2,Is Chartreuse less than Medium Periwinkle?,0,vbar_categorical,categorical_less_than
86,2,5,Is Chartreuse the high median?,1,vbar_categorical,categorical_high_median
87,2,4,Is Chartreuse the low median?,1,vbar_categorical,categorical_low_median
88,2,5,Is Magenta the high median?,0,vbar_categorical,categorical_high_median
89,2,4,Is Web Maroon the low median?,0,vbar_categorical,categorical_low_median
90,4,14,Does Teal intersect Deep Sky Blue?,0,line,continuous_intersect
91,8000,2,Is Teal less than Medium Periwinkle?,1,pie,categorical_less_than
92,8000,3,Is Teal greater than Medium Periwinkle?,0,pie,categorical_greater_than
93,8000,2,Is Medium Periwinkle less than Teal?,0,pie,categorical_less_than
94,8000,5,Is Medium Periwinkle the high median?,1,pie,categorical_high_median
95,8000,4,Is Medium Periwinkle the low median?,1,pie,categorical_low_median
96,16002,2,Is Light Coral less than Dark Slate?,1,pie,categorical_less_than
97,16002,3,Is Light Coral greater than Dark Slate?,0,pie,categorical_greater_than
98,16002,2,Is Dark Slate less than Light Coral?,0,pie,categorical_less_than
99,16002,5,Is Lawn Green the high median?,1,pie,categorical_high_median
100,16002,4,Is Lawn Green the low median?,1,pie,categorical_low_median
101,12001,6,Does Yellow Green have the minimum area under the curve?,1,line,continuous_minimum_auc
102,12001,7,Does Medium Mint have the maximum area under the curve?,1,line,continuous_maximum_auc
103,12001,6,Does Medium Periwinkle have the minimum area under the curve?,0,line,continuous_minimum_auc
104,12001,7,Does Medium Periwinkle have the maximum area under the curve?,0,line,continuous_maximum_auc
105,12001,8,Is Sienna the smoothest?,1,line,continuous_smoothest
106,4000,2,Is Tan less than Magenta?,1,pie,categorical_less_than
107,4000,3,Is Tan greater than Magenta?,0,pie,categorical_greater_than
108,4000,2,Is Magenta less than Tan?,0,pie,categorical_less_than
109,4000,5,Is Tan the high median?,1,pie,categorical_high_median
